,text
0,"['운영체제', '원리', '개념', '이해', '운영체제', '제공', '서비스', '이해', '운영체제', '설계', '구현', '이슈']"
1,"['사이버피지컬시스템', '연구실', '연구', '철학', '방향', '이해', '컴퓨터시스템', '성능', '개선', '컴퓨팅', '신뢰', '제고', '프로제스스케줄링', '기술', '입출력', '최적화', '파일시스템', '스토리지', '결함허용기법', '이해', '소정', '인턴비', '지급']"
2,"['데이터베이스', '응용', '빅데이터', '데이터사이언스', '이론', '다양', '실제', '빅데이터', '다양', '속성', '특징', '효과', '분석', '방법', '학생', '빅데이터', '생성', '특징', '분석', '유의', '빅데이터', '분석', '필요', '확률', '통계', '수학', '이론', '학생', '빅데이터', '수집', '분석', '시각', '능력', '배양', '파이썬', '프로그래밍', '스킬', '데이터사이언스', '필요', '데이터', '수집', '전처리', '분석', '시각화', '방법', '습득', '데이터사이언스', '필요', '코딩', '기술', '습득']"
3,"['진로탐색', '세미나', '진행', '취업', '산업체', '인사', '특강', '창업', '산학', '중점', '교수', '진학', '전공교수', '연구', '분야', '소개', '컴퓨터', '분야', '다양', '진로', '탐색', '상담', '시간', '학생', '진로선택', '도움']"
4,"['사이버피지컬시스템', '연구실', '연구', '철학', '방향', '이해', '컴퓨터시스템', '성능', '개선', '컴퓨팅', '신뢰', '제고', '프로제스스케줄링', '기술', '입출력', '최적화', '파일시스템', '스토리지', '결함허용기법', '이해', '소정', '인턴비', '지급']"
5,"['공학인증종합설계', '컴퓨터', '캡스톤디자인', '연장', '지도', '교수', '정기', '미팅', '설계', '방법', '작품', '구현', '내용', '추가', '최근', '기술', '동향', '파악', '세미나', '참석', '요구', '참석', '여부', '최종', '목적', '단위', '소프트웨어개발', '프로젝트', '상품화수준', '소프트웨어개발', '소프트웨어', '품질보장방법', '소프트웨어', '품질', '보장', '소프트웨어개발', '산출물', '요구사항분석', '설계문서', '구현', '노트', '검증방법', '소프트웨어', '소스', '코드', '디버깅', '테스트', '검증방법', '소프트웨어개발', '산출물', '효율', '유지보수방법', '습득', '컴퓨터공학', '학생', '산업체', '요구', '능력', '배양', '학부', '이론', '바탕', '공동', '작품', '설계', '해결', '기법', '함양']"
6,"['인터넷', '내부', '동작', '이해', '초점', '인터넷', '컴퓨터네트워크프로토콜', '응용계층', '시작', '링크', '계층', 'Top-down방식', '소개', '바탕', '인터넷', '프로토콜', '실제', '구현', '프로그램', '작성', '컴퓨터네트워크프로토콜', '응용계층', '시작', '네트워크계층', 'Top-down방식', '바탕', '차세대인터넷프로토콜', '멀티미디어통신프로토콜', '프로그램', '작성', '프로토콜', '동작']"
7,"['기반', '창업', '기업가정신', '창업', '필요', '개념', '숙지', '아이디어', '수집', '비즈니스모델', '예상', '구현모델', '과정', '이해', '제품', '서비스', '구현', '실제', '창업', '경험', '체득', '세부', '내용', '창업프로세스', '창업', '구성', '아이디어', '개발', '시장', '기술', '조사', '비즈니스모델', '설계', '사업계획서', '작성', '제품', '서비스', '개발', '기반', '창업', '준비', '창업', '역량', '창업', '캡스톤디자인', '창업', '캡스톤디자인', '계획', '동일', '통합', '구성', '예정', '창업', '이론', '프로젝트', '실습', '중심', '진행', '창업', '동아리', '타과', '학생', '이론', '동영상', '진행', '프로젝트', '실습', '지정', '멘토', '자율', '진행', '방법', '수강', '멘토링', '팀프로젝트', '중간발표', '기말', '발표', '동영상', '창업아이디어']"
8,"['소프트웨어학부', '심화', '문제', '해결', '산업현장', '개발', '프로젝트', '주제', '지정', '소프트웨어개발', '프로세스', '단계', '문제', '도출', '파악', '조사', '분석', '해결', '절차', '소프트웨어공학', '이론', '지식', '습득', '물론', '토론', '발표', '진행', '학생', '습득', '지식', '공유', '검토', '토론', '지식', '실질', '적용', '실습', '추가', '소프트웨어개발', '프로젝트', '단위', '진행', '개발', '단계', '요구', '요구사항', '명세서', '설계문서', '테스트', '디자인', '산출물', '개발', '마지막', '프로젝트', '총괄', '발표', '진행', '산업현장', '문제', '환경', '고려', '실질', '프로젝트', '기반', '소프트웨어', '시스템', '개발', '학술', '이론', '이해', '현실', '능력', '효과', '배양', '신뢰', '소프트웨어', '효율', '효과', '개발', '기법', '소프트웨어', '개발', '조직', '분석', '설계', '구현', '문서', '테스트', '측면', '다양', '기법', '습득', '습득', '소프트웨어개발', '기법', '적용', '사례', '기법', '기반', '개발', '도구', '사회', '거리', '두기', '단계', '기준', '대면', '병행', '아래', '운영', '이론', '동영상', '금요일', '이론', '동영상', '업로드', '문제', '해결', '활동', '실습', '차질', '진행', '문제', '해결', '활동', '실습수업', '금요일', '점심', '시간', '제외', '참고', '사회', '거리', '두기', '단계', '단계', '격상', '전면', '원격수업', '전환', '사회', '거리', '두기', '단계', '단계', '지속', '유지', '전면', '원격수업', '전환', '마찬가지', '종식', '전면', '대면', '전환', '사회', '거리', '두기', '단계', '운영', '방식', '변경', '가능']"
9,"['시스템프로그래머', '수준', '프로그래밍', '기술', '습득', '리눅스운영체제', '기능', '설계', '개념', '이해', '필요', '시스템', '프로그래밍', '리눅스커널', '제공', '시스템함수', '수준', '프로그램', '제작', '의미', '리눅스운영체제', '개념', '시스템함수', '세부', '동작', '시스템', '프로그래밍', '기초', '언어', '프로그래밍', '능력', '필요', '리눅스운영체제', '기능', '설계', '개념', '시작', '리눅스커널', '제공', '시스템함수', '세부', '동작', '방법', '파일', '시스템함수', '프로세스', '시스템함수', '시그널', '프로세스', '통신', '스레드', '순차', '진행', '방식', '변경', '이론', '원격수업', '진행', '중간고사', '시험', '단원', '진행', '중간고사', '대면시험', '교내', '진행', '수강', '학생', '커널', '제공', '시스템함수', '이용', '파일', '프로세스', '프로세스', '성생', '실행', '종료', '변화', '과정', '시스템함수', '시그널', '연관', '설명', '시그널', '파이프', '메시지', '세마포', '공유', '메모리', '이용', '프로세스', '통신']"
