"","[운영체제, 원리, 개념, 이해, 운영체제, 제공, 서비스, 이해, 운영체제, 설계, 구현, 이슈]"
"22697","[사이버피지컬시스템, 연구실, 연구, 철학, 방향, 이해, 컴퓨터, 시스템, 성능, 개선, 컴퓨팅, 신뢰, 제고, 프로세스, 스케줄링, 기술, 입출력, 최적화, 파일시스템, 스토리지, 결함, 허용, 기법, 이해, 소정, 인턴비, 지급]"
"22699","[데이터베이스, 응용, 빅데이터, 데이터사이언스, 이론, 다양, 실제, 빅데이터, 다양, 속성, 특징, 효과, 분석, 방법, 학생, 빅데이터, 생성, 특징, 분석, 유의, 빅데이터, 분석, 필요, 확률, 통계, 수학, 이론, 학생, 빅데이터, 수집, 분석, 시각, 능력, 배양, 파이썬, 프로그래밍, 스킬, 데이터사이언스, 필요, 데이터, 수집, 전처리, 분석, 시각화, 방법, 습득, 데이터사이언스, 필요, 코딩, 기술, 습득]"
"22701","[진로, 탐색, 세미나, 진행, 취업, 산업체, 인사, 특강, 창업, 산학, 중점, 교수, 진학, 교수, 연구, 분야, 소개, 컴퓨터, 분야, 다양, 진로, 탐색, 상담, 시간, 학생, 진로, 선택, 도움]"
"22703","[사이버피지컬시스템, 연구실, 연구, 철학, 방향, 이해, 컴퓨터, 시스템, 성능, 개선, 컴퓨팅, 신뢰, 제고, 프로세스, 스케줄링, 기술, 입출력, 최적화, 파일시스템, 스토리지, 결함, 허용, 기법, 이해, 소정, 인턴비, 지급]"
"22705","[공학인증종합설계, 컴퓨터, 캡스톤디자인, 연장, 지도, 교수, 정기, 미팅, 설계, 방법, 작품, 구현, 내용, 추가, 최근, 기술, 동향, 파악, 세미나, 참석, 요구, 참석, 여부, 최종, 목적, 단위, 소프트웨어, 개발, 프로젝트, 상품, 수준, 소프트웨어, 개발, 소프트웨어, 품질, 보장, 방법, 소프트웨어, 품질, 보장, 소프트웨어, 개발, 산출물, 요구, 사항, 분석, 설계, 문서, 구현, 노트, 검증, 방법, 소프트웨어, 소스, 코드, 디버깅, 테스트, 검증, 방법, 소프트웨어, 개발, 산출물, 효율, 유지, 보수, 방법, 습득, 컴퓨터공학, 학생, 산업체, 요구, 능력, 배양, 학부, 이론, 바탕, 공동, 작품, 설계, 해결, 기법, 함양]"
"22707","[인터넷, 내부, 동작, 이해, 초점, 인터넷, 컴퓨터네트워크, 프로토콜, 응용, 계층, 시작, 링크, 계층, Top-down방식, 소개, 바탕, 인터넷, 프로토콜, 실제, 구현, 프로그램, 작성, 컴퓨터네트워크, 프로토콜, 응용, 계층, 시작, 네트워크, 계층, Top-down방식, 바탕, 차세대인터넷프로토콜, 멀티미디어, 통신, 프로토콜, 프로그램, 작성, 프로토콜, 동작]"
"22709","[기반, 창업, 기업가정신, 창업, 필요, 개념, 숙지, 아이디어, 수집, 비즈니스모델, 예상, 구현모델, 과정, 이해, 제품, 서비스, 구현, 실제, 창업, 경험, 체득, 세부, 내용, 창업프로세스, 창업, 구성, 아이디어, 개발, 시장, 기술, 조사, 비즈니스, 모델, 설계, 사업계획서, 작성, 제품, 서비스, 개발, 기반, 창업, 준비, 창업, 역량, 창업, 캡스톤디자인, 창업, 캡스톤디자인, 계획, 동일, 통합, 구성, 예정, 창업, 이론, 프로젝트, 실습, 중심, 진행, 창업, 동아리, 타과, 학생, 이론, 동영상, 진행, 프로젝트, 실습, 지정, 멘토, 자율, 진행, 방법, 수강, 멘토링, 팀프로젝트, 중간발표, 기말, 발표, 동영상, 창업아이디어]"
"22711","[소프트웨어학부, 심화, 산업현장, 개발, 프로젝트, 주제, 지정, 소프트웨어, 개발, 프로세스, 단계, 문제, 도출, 파악, 조사, 분석, 해결, 절차, 소프트웨어, 공학, 이론, 지식, 습득, 물론, 토론, 발표, 진행, 학생, 습득, 지식, 공유, 검토, 토론, 지식, 실질, 적용, 실습, 추가, 소프트웨어, 개발, 프로젝트, 단위, 진행, 개발, 단계, 요구, 요구사항, 명세서, 설계, 문서, 테스트, 디자인, 산출물, 개발, 마지막, 프로젝트, 총괄, 발표, 진행, 산업현장, 문제, 환경, 고려, 실질, 프로젝트, 기반, 소프트웨어, 시스템, 개발, 학술, 이론, 이해, 현실, 능력, 효과, 배양, 신뢰, 소프트웨어, 효율, 효과, 개발, 기법, 소프트웨어, 개발, 조직, 분석, 설계, 구현, 문서, 테스트, 측면, 다양, 기법, 습득, 습득, 소프트웨어, 개발, 기법, 적용, 사례, 기법, 기반, 개발, 도구, 사회, 거리, 두기, 단계, 기준, 대면, 병행, 아래, 운영, 이론, 동영상, 금요일, 이론, 동영상, 업로드, 활동, 실습, 차질, 진행, 활동, 실습수업, 금요일, 점심, 시간, 제외, 참고, 사회, 거리, 두기, 단계, 단계, 격상, 전면, 전환, 사회, 거리, 두기, 단계, 단계, 지속, 유지, 전면, 전환, 마찬가지, 종식, 전면, 대면, 전환, 사회, 거리, 두기, 단계, 운영, 방식, 변경, 가능]"
"22713","[시스템, 프로그래머, 수준, 프로그래밍, 기술, 습득, 리눅스, 운영체제, 기능, 설계, 개념, 이해, 필요, 시스템, 프로그래밍, 리눅스, 커널, 제공, 시스템, 함수, 수준, 프로그램, 제작, 의미, 리눅스, 운영체제, 개념, 시스템, 함수, 세부, 동작, 시스템, 프로그래밍, 기초, 언어, 프로그래밍, 능력, 필요, 리눅스, 운영체제, 기능, 설계, 개념, 시작, 리눅스, 커널, 제공, 시스템, 함수, 세부, 동작, 방법, 파일, 시스템, 함수, 프로세스, 시스템, 함수, 시그널, 프로세스, 통신, 스레드, 순차, 진행, 방식, 변경, 이론, 진행, 중간고사, 시험, 단원, 진행, 중간고사, 대면시험, 교내, 진행, 목표, 수강, 학생, 커널, 제공, 시스템, 함수, 이용, 파일, 프로세스, 프로세스, 성생, 실행, 종료, 변화, 과정, 시스템, 함수, 시그널, 연관, 설명, 시그널, 파이프, 메시지, 세마포, 공유, 메모리, 이용, 프로세스, 통신]"
"22715","[임베디드, 시스템, 구성, 임베디드, 플랫, 기반, 임베디드, 시스템, 적용, 임베디드, 운영체제, 과정, 운영체제, 펌웨어, 자동차, 비행기, 적용, 실시간, 운영체제, 스마트폰, 우리, 주변, 다양, 분야, 적용, 임베디드, 리눅스, 디바이스, 제어, 디바이스, 드라이버, 연동, 과정, 진행, 계획, 임베디드, 시스템, 설계, 구현, 임베디드, 플랫, 구성, 요소, 분석, 토대, 임베디드, 시스템, 제어, 소프트웨어, 펌웨어, 실시간, 운영체제, 임베디드, 범용, 운영, 체제, 차이점, 실제, 코드, 예제, 이해, 운영체제, 동작, 원리, 이론, 이론, 실제, 하드웨어, 연동, 구조, 분석, 파악, 운영체제, 기반, 디바이스, 제어, 디바이스, 드라이버]"
"22717","[온라인, 실시간, 실습]"
"22719","[모바일, 기기, 보급, 모바일, 컴퓨팅, 애플리케이션, 필수요소, 자리, 모바일, 플랫폼, 시스템, 개발, 필요, 기술, 지식, 이해, 필요, 학생, 인터넷프로토콜, 모바일, 시스템]"
"22721","[]"
